Name,Season,Partner,Age,Married,Race,Gender,
Lauren Speed,1,Cameron Hamilton,32,1,Black,1,LIB + Lauren Speed
Cameron Hamilton,1,Lauren Speed,28,1,White,0,LIB + Cameron Hamilton
Amber Pike,1,Matthew Barnett,27,1,White,1,LIB + Amber Pike
Matthew Barnett,1,Amber Pike,27,1,White,0,LIB + Matthew Barnett
Giannina Gibelli,1,Damian Powers,25,0,Hispanic,1,LIB + Giannina Gibelli
Damian Powers,1,Giannina Gibelli,27,0,White,0,LIB + Damian Powers
Jessica Batten,1,Mark Cuevas,34,0,White,1,LIB + Jessica Batten
Mark Cuevas,1,Jessica Batten,24,0,Hispanic,0,LIB + Mark Cuevas
Kelly Chase,1,Kenny Barnes,33,0,White,1,LIB + Kelly Chase
Kenny Barnes,1,Kelly Chase,27,0,Black,0,LIB + Kenny Barnes
Diamond Jack,1,Carlton Morton,28,0,Black,1,LIB + Diamond Jack
Carlton Morton,1,Diamond Jack,34,0,Black,0,LIB + Carlton Morton
Iyanna McNeely,2,Jarrette Jones,27,1,Black,1,LIB + Iyanna McNeely
Jarrette Jones,2,Iyanna McNeely,32,1,Black,0,LIB + Jarrette Jones
Danielle Ruhl,2,Nick Thompson,29,1,White,1,LIB + Danielle Ruhl
Nick Thompson,2,Danielle Ruhl,36,1,White,0,LIB + Nick Thompson
Natalie Lee,2,Shayne Jansen,29,0,Asian,1,LIB + Natalie Lee
Shayne Jansen,2,Natalie Lee,32,0,White,0,LIB + Shayne Jansen
Deepti Vempati,2,Abhishek Chatterjee,31,0,Asian,1,LIB + Deepti Vempati
Abhishek Chatterjee,2,Deepti Vempati,33,0,Asian,0,LIB + Abhishek Chatterjee
Mallory Zapata,2,Salvador Perez,32,0,Hispanic,1,LIB + Mallory Zapata
Salvador Perez,2,Mallory Zapata,31,0,Hispanic,0,LIB + Salvador Perez
Shaina Hurley,2,Kyle Abrams,32,0,White,1,LIB + Shaina Hurley
Kyle Abrams,2,Shaina Hurley,29,0,White,0,LIB + Kyle Abrams
Alexa Alfia,3,Brennon Lemieux,29,1,White,1,LIB + Alexa Alfia
Brennon Lemieux,3,Alexa Alfia,32,1,White,0,LIB + Brennon Lemieux
Colleen Reed,3,Matt Bolton,25,1,White,1,LIB + Colleen Reed
Matt Bolton,3,Colleen Reed,27,1,White,0,LIB + Matt Bolton
Zanab Jaffrey,3,Cole Barnett,31,0,Asian,1,LIB + Zanab Jaffrey
Cole Barnett,3,Zanab Jaffrey,26,0,White,0,LIB + Cole Barnett
Raven Ross,3,Sikiru Alagbada,27,0,Black,1,LIB + Raven Ross
Sikiru Alagbada,3,Raven Ross,34,0,Black,0,LIB + Sikiru Alagbada
Nancy Rodriguez,3,Bartise Bowden,31,0,Hispanic,1,LIB + Nancy Rodriguez
Bartise Bowden,3,Nancy Rodriguez,25,0,White,0,LIB + Bartise Bowden
Tiffany Pennywell,4,Brett Brown,37,1,Black,1,LIB + Tiffany Pennywell
Brett Brown,4,Tiffany Pennywell,36,1,Black,0,LIB + Brett Brown
Bliss Poureetezadi,4,Zack Goytowski,33,1,Mixed,1,LIB + Bliss Poureetezadi
Zack Goytowski,4,Bliss Poureetezadi,31,1,White,0,LIB + Zack Goytowski
Chelsea Griffin,4,Kwame Appiah,31,1,Black,1,LIB + Chelsea Griffin
Kwame Appiah,4,Chelsea Griffin,33,1,Black,0,LIB + Kwame Appiah
Micah Lussier,4,Paul Peden,26,0,White,1,LIB + Micah Lussier
Paul Peden,4,Micah Lussier,29,0,White,0,LIB + Paul Peden
Jackelina Bonds,4,Marshall Glaze,27,0,Hispanic,1,LIB + Jackelina Bonds
Marshall Glaze,4,Jackelina Bonds,27,0,Black,0,LIB + Marshall Glaze
Jimmy Forde,4,Wendi Kong,29,0,White,0,LIB + Jimmy Forde
Wendi Kong,4,Jimmy Forde,28,0,Asian,1,LIB + Wendi Kong
Ava Jenson,4,JP Schultz,32,0,White,1,LIB + Ava Jenson
JP Schultz,4,Ava Jenson,30,0,White,0,LIB + JP Schultz
Lydia Velez Gonzalez,5,Milton Johnson,32,1,Hispanic,1,LIB + Lydia Velez Gonzalez
Milton Johnson,5,Lydia Velez Gonzalez,25,1,Black,0,LIB + Milton Johnson
Stacy Snyder,5,Izzy Zapata,34,0,White,1,LIB + Stacy Snyder
Izzy Zapata,5,Stacy Snyder,31,0,Hispanic,0,LIB + Izzy Zapata
Renee Poche,5,Carter Wall,32,0,Black,1,LIB + Renee Poche
Carter Wall,5,Renee Poche,30,0,White,0,LIB + Carter Wall
Taylor Rue,5,JP Pierce,26,0,White,1,LIB + Taylor Rue
JP Pierce,5,Taylor Rue,32,0,White,0,LIB + JP Pierce
Paige Tillman,5,Josh Simmons,32,0,White,1,LIB + Paige Tillman
Josh Simmons,5,Paige Tillman,32,0,White,0,LIB + Josh Simmons
Amy Cortes,6,Johnny McIntyre,28,1,Hispanic,1,LIB + Amy Cortes
Johnny McIntyre,6,Amy Cortes,28,1,White,0,LIB + Johnny McIntyre
AD Smith,6,Clay Gravesande,33,0,Black,1,LIB + AD Smith
Clay Gravesande,6,AD Smith,31,0,Black,0,LIB + Clay Gravesande
Chelsea Blackwell,6,Jimmy Presnell,31,0,White,1,LIB + Chelsea Blackwell
Jimmy Presnell,6,Chelsea Blackwell,28,0,White,0,LIB + Jimmy Presnell
Laura Dadisman,6,Jeramey Lutinski,34,0,White,1,LIB + Laura Dadisman
Jeramey Lutinski,6,Laura Dadisman,32,0,White,0,LIB + Jeramey Lutinski
Brittany Mills,6,Kenneth Gorham,25,0,White,1,LIB + Brittany Mills
Kenneth Gorham,6,Brittany Mills,26,0,Black,0,LIB + Kenneth Gorham
Taylor Krause,7,Garrett Josemans,30,1,Mixed,1,LIB + Taylor Krause
Garrett Josemans,7,Taylor Krause,33,1,White,0,LIB + Garrett Josemans
Ashley Adionser,7,Tyler Francis,32,1,Black,1,LIB + Ashley Adionser
Tyler Francis,7,Ashley Adionser,34,1,Black,0,LIB + Tyler Francis
Marissa George,7,Ramses Prashad,32,0,Black,1,LIB + Marissa George
Ramses Prashad,7,Marissa George,35,0,Hispanic,0,LIB + Ramses Prashad
Hannah Jiles,7,Nick Dorka,27,0,White,1,LIB + Hannah Jiles
Nick Dorka,7,Hannah Jiles,29,0,White,0,LIB + Nick Dorka
Alex Byrd,7,Tim Godbee,33,0,Black,1,LIB + Alex Byrd
Tim Godbee,7,Alex Byrd,33,0,Black,0,LIB + Tim Godbee
Monica Davis,7,Stephen Richardson,37,0,Black,1,LIB + Monica Davis
Stephen Richardson,7,Monica Davis,34,0,White,0,LIB + Stephen Richardson
Brittany Wisniewski,7,Leo Braudy,33,0,White,1,LIB + Brittany Wisniewski
Leo Braudy,7,Brittany Wisniewski,31,0,White,0,LIB + Leo Braudy
Taylor Haag,8,Daniel Hastings,32,1,White,1,LIB + Taylor Haag
Daniel Hastings,8,Taylor Haag,30,1,Black,0,LIB + Daniel Hastings
Virginia Miller,8,Devin Buckley,34,0,White,1,LIB + Virginia Miller
Devin Buckley,8,Virginia Miller,29,0,Black,0,LIB + Devin Buckley
Monica Danus,8,Joey Leveille,28,0,Black,1,LIB + Monica Danus
Joey Leveille,8,Monica Danus,35,0,White,0,LIB + Joey Leveille
Sara Carton,8,Ben Mezzenga,29,0,White,1,LIB + Sara Carton
Ben Mezzenga,8,Sara Carton,28,0,White,0,LIB + Ben Mezzenga
Kylie Schuelke,8,Brian Sumption,28,0,White,1,LIB + Kylie Schuelke
Brian Sumption,8,Kylie Schuelke,30,0,White,0,LIB + Brian Sumption
Kalybriah Haskin,9,Edmond Harvey,29,0,Black,1,LIB + Kalybriah Haskin
Edmond Harvey,9,Kalybriah Haskin,29,0,Black,0,LIB + Edmond Harvey
Ali Lima,9,Anton Yarosh,29,0,Hispanic,1,LIB + Ali Lima
Anton Yarosh,9,Ali Lima,29,0,White,0,LIB + Anton Yarosh
Megan Walerius,9,Jordan Keltner,35,0,White,1,LIB + Megan Walerius
Jordan Keltner,9,Megan Walerius,30,0,White,0,LIB + Jordan Keltner
Madison Maidenberg,9,Joe Ferrucci,28,0,White,1,LIB + Madison Maidenberg
Joe Ferrucci,9,Madison Maidenberg,29,0,White,0,LIB + Joe Ferrucci
Annie Lancaster,9,Nick Amato,31,0,White,1,LIB + Annie Lancaster
Nick Amato,9,Annie Lancaster,28,0,White,0,LIB + Nick Amato
Kacie McIntosh,9,Patrick Suzuki,34,0,White,1,LIB + Kacie McIntosh
Patrick Suzuki,9,Kacie McIntosh,31,0,Asian,0,LIB + Patrick Suzuki
Christine Hamilton,10,Victor St. John,31,1,White,1,LIB + Christine Hamilton
Victor St. John,10,Christine Hamilton,34,1,Black,0,LIB + Victor St. John
Amber Morrison,10,Jordan Faeth,34,1,Black,1,LIB + Amber Morrison
Jordan Faeth,10,Amber Morrison,34,1,White,0,LIB + Jordan Faeth
Ashley Carpenter,10,Alex Henderson,34,0,White,1,LIB + Ashley Carpenter
Alex Henderson,10,Ashley Carpenter,31,0,White,0,LIB + Alex Henderson
Emma Betsinger,10,Mike Gibney,28,0,White,1,LIB + Emma Betsinger
Mike Gibney,10,Emma Betsinger,30,0,White,0,LIB + Mike Gibney
Bri McNees,10,Connor Spies,34,0,White,1,LIB + Bri McNees
Connor Spies,10,Bri McNees,32,0,White,0,LIB + Connor Spies
Brittany Wicker,10,Devonta Anderson,33,0,Black,1,LIB + Brittany Wicker
Devonta Anderson,10,Brittany Wicker,32,0,Black,0,LIB + Devonta Anderson
Jessica Barrett,10,Chris Fusco,39,0,White,1,LIB + Jessica Barrett
Chris Fusco,10,Jessica Barrett,33,0,White,0,LIB + Chris Fusco
Elissa Finley,10,Miguel Lopez,39,0,White,1,LIB + Elissa Finley
Miguel Lopez,10,Elissa Finley,32,0,Hispanic,0,LIB + Miguel Lopez
